Date,Pupa,Adult,Rainfall,Temperature,,,,,
3-Aug,,,3.3,13.54,,,,,
4-Aug,,,0.44,17.39,,,,,
5-Aug,,,4.29,16.95,,,,,
6-Aug,,,0.55,13.21,,,,,
8-Aug,,,,13.21,,,,,
9-Aug,,,2.75,12.22,,,,,
11-Aug,,,,12.11,,,,,
12-Aug,,,,12.11,,,,,
14-Aug,,,,15.3,,,,,
17-Aug,,,,12.99,,,,,
18-Aug,,,,16.95,,,,,
19-Aug,,,,17.61,,,,,
20-Aug,,,,17.17,,,,,
22-Aug,,,,19.6,,,,,
23-Aug,,,,26.09,,,,,
24-Aug,,,2.2,17.94,,,,,
25-Aug,,,11.78,18.72,,,,,
27-Aug,,,,17.94,,,,,
28-Aug,,,,13.87,,,,,
3-Sep,,,,18.39,,,,,
4-Sep,,,,17.61,,,,,
5-Sep,,,,18.28,,,,,
6-Sep,,,,22.79,,,,,
8-Sep,,,9.03,14.97,,,,,
9-Sep,3,,1.43,15.3,,,,,
11-Sep,,,,18.83,,,,,
12-Sep,1,,,19.16,,,,,
14-Sep,1,,,22.35,,,,,
15-Sep,,,,20.04,,,,,
16-Sep,,,1.87,23.89,,,,,
17-Sep,1,,,17.39,,,,,
18-Sep,,,,17.39,,,,,
19-Sep,1,,,19.93,,,,,
20-Sep,2,,,,,,,,
21-Sep,1,,,16.62,,,,,
22-Sep,,,,16.95,,,,,
23-Sep,,,,16.18,,,,,
24-Sep,1,,,16.51,,,,,
25-Sep,,,,18.61,,,,,
26-Sep,1,,,18.06,,,,,
27-Sep,,,3.74,15.63,,,,,
29-Sep,,,,18.94,,,,,
30-Sep,,2,,,,,,,
1-Oct,,,,19.05,,,,,
2-Oct,,,,23.45,,,,,
3-Oct,,,,18.61,,,,,
4-Oct,,1,,19.49,,,,,
5-Oct,,1,,19.16,,,,,
6-Oct,,,,21.14,,,,,
7-Oct,,1,,21.69,,,,,
9-Oct,,,,21.47,,,,,
11-Oct,,1,,,,,,,
12-Oct,,,0.44,17.28,,,,,
13-Oct,,,,18.06,,,,,
14-Oct,,,,15.41,,,,,
15-Oct,,4,,17.28,,,,,
16-Oct,,,0.77,16.07,,,,,
17-Oct,,,21.36,17.72,,,,,
19-Oct,,1,48,16.18,,,,,
20-Oct,,,,13.65,,,,,
21-Oct,,1,23.89,,,,,,
22-Oct,,,4.62,,,,,,
23-Oct,,,0.66,16.29,,,,,
24-Oct,,,,20.48,,,,,
27-Oct,,,,17.39,,,,,
28-Oct,,,,18.72,,,,,
29-Oct,,,,24.22,,,,,
30-Oct,1,,,23.56,,,,,
31-Oct,1,,,18.72,,,,,
1-Nov,,,1.1,16.84,,,,,
2-Nov,3,,,21.03,,,,,
3-Nov,3,,1.1,23.89,,,,,
4-Nov,6,,0.33,23.78,,,,,
5-Nov,3,,,18.83,,,,,
6-Nov,3,,,22.57,,,,,
7-Nov,3,,,,,,,,
8-Nov,1,,,,,,,,
9-Nov,2,,,21.36,,,,,
10-Nov,4,,,24.77,,,,,
11-Nov,2,,,19.71,,,,,
12-Nov,2,,,18.06,,,,,
13-Nov,1,,,17.28,,,,,
14-Nov,5,,,17.39,,,,,
15-Nov,1,,,20.92,,,,,
16-Nov,,,,18.72,,,,,
17-Nov,,,,19.6,,,,,
19-Nov,,,,19.82,,,,,
20-Nov,,,,18.72,,,,,
21-Nov,,,,18.61,,,,,
22-Nov,,2,,17.94,,,,,
23-Nov,,1,,,,,,,
24-Nov,,1,,20.92,,,,,
25-Nov,,2,,21.69,,,,,
26-Nov,,3,,,,,,,
27-Nov,1,1,,21.36,,,,,
28-Nov,,4,,20.59,,,,,
29-Nov,,4,,21.91,,,,,
30-Nov,,,,,,,,,
1-Dec,,,,,,,,,
2-Dec,,5,,,,,,,
3-Dec,,2,,,,,,,
4-Dec,,2,,,,,,,
5-Dec,,5,4.18,,,,,,
6-Dec,,1,,17.5,,,,,
7-Dec,,1,,,,,,,
8-Dec,,3,,23.12,,,,,
9-Dec,,,,22.57,,,,,
10-Dec,,,,24.99,,,,,
12-Dec,,,,23.45,,,,,
13-Dec,,,,25.32,,,,,
14-Dec,,1,,25.1,,,,,
15-Dec,,,,,,,,,
16-Dec,,,,,,,,,
17-Dec,,,,22.35,,,,,
18-Dec,,,,27.08,,,,,
19-Dec,,,,,,,,,
20-Dec,,,,,,,,,
21-Dec,,,7.49,19.49,,,,,
